A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BY,BZ,CA,CB,CC,target
0598f669,chotu,11,1,17cm,61,17cm,23.59183143,62,129,,61,76,105,17cm,5,7,44,17cm,13,0,24.1,3,23.6,3,10,1,7,0,10,1,9,1,,,,,,,,,,,,,,,,,,,,chotu,2.73,17cm,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17cm,29,42,chotu,0,0
612b3ff9,chotu,12,0,17cm,61,500years,24.03112245,56,107.2,,71,69,114,,,,,500years,8,0,17.9,2,19.4,2,0,0,9,1,9,1,9,1,,,,,,,,,,,,,,,,,,,,chotu,1.56,500years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500years,33,47,chotu,0,0
d877094f,17cm,10,1,chotu,70,rinki,18.23598831,51.5,68.8,,58,80,118,rinki,6,10,1,rinki,60,1,,,,,7,1,8,0,9,1,3,0,chotu,2,2.93508,18.238,1037.47,1556.2,15.7642,52.7667,13.9878,4.25021,16.0333,2,24.5529,12.4497,49.8317,23.3673,40.3171,,,rinki,2.42,,,,,,,,,,,,,,,,,,,,,,rinki,38,54,rinki,2,
342d43c7,500years,19,1,rinki,65,17cm,16.51955402,63.75,95.5,,68,57,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,0,4,4,0,1,1,2,3,0,0,5,0,0,0,3,0,4,0,4,4,17cm,54,75,500years,1,1
6f49c8d0,17cm,6,1,rinki,55,rinki,20.19904514,48,66.2,,76,97,129,rinki,,,,rinki,5,1,,,,,2,0,10,1,10,1,9,1,rinki,4,2.47846,20.2013,984.196,1869.97,12.4582,47.0928,14.3706,5.83064,19.1072,2,23.4287,11.206,44.6144,26.0402,35.8869,,,,,rinki,2,2,2,0,1,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,rinki,37,53,17cm,2,0
36c1f189,rinki,10,1,17cm,91,500years,16.36072727,55,70.4,,83,81,120,500years,5,7,41,500years,8,0,11.7,1,17.2,2,10,1,8,0,5,0,7.5,0,500years,3,4.08511,16.3625,1099.49,1759.18,19.0323,59.3727,13.7995,2.563,11.0273,1,26.3862,13.9542,55.2875,24.3757,45.4184,,,500years,2,500years,2,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,500years,31,45,500years,0,0
8a9cce44,chotu,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,4,4,4,0,5,5,0,5,3,4,4,0,2,1,4,0,5,1,0,0,chotu,32,46,,,2
62f77d2f,17cm,9,1,chotu,80,17cm,19.00912,50,67.6,,76,95,116,17cm,3,4,56,17cm,5,0,,,,,3,0,10,1,10.5,1,11,1,17cm,2,10.1476,19.0112,1006.87,1510.31,13.5705,49.5083,13.9233,5.08793,18.0917,1,22.3653,13.5725,39.3607,20.4413,35.9359,,,rinki,2.18,17cm,3,2,2,0,3,1,0,1,1,2,1,0,2,3,3,4,4,4,1,1,17cm,60,82,17cm,0,1
1f5835cd,17cm,9,1,rinki,85,17cm,16.22154774,51.5,61.2,,71,92,121,17cm,,,,17cm,7,1,,,,,2,0,4.5,0,9,1,6,1,17cm,1,5.95523,16.2233,1026.38,1334.29,13.8111,51.586,13.6748,2.54854,9.61397,1,25.8256,11.9493,45.6308,31.5446,39.6367,,,17cm,1.89,17cm,2,2,2,0,2,1,1,1,1,2,2,0,1,1,1,1,1,2,1,1,17cm,31,45,17cm,0,0
4dc86bb6,chotu,11,0,,,chotu,21.65005945,58,103.6,30,84,103,134,,,,,chotu,0,0,10.6,1,9.8,1,0,0,11,1,10,1,8,0,chotu,,,,,,,,,,,,,,,,,,,chotu,2.43,,,,,,,,,,,,,,,,,,,,,,,,,chotu,3,
69742f6f,chotu,13,0,500years,55,chotu,17.47161081,61.5,94,26,68,77,109,,,,,chotu,35,1,26.6,2,25.8,2,17,1,0,0,0,0,8,0,chotu,3,4.77447,17.4735,1254.14,2132.04,19.9977,75.8454,14.0988,3.37474,18.1546,2,35.548,20.2997,71.0709,35.8356,55.5457,,,chotu,2.77,chotu,4,4,4,4,4,2,2,5,3,2,4,1,3,3,3,1,4,3,4,4,chotu,39,55,chotu,1,2
997ef805,rinki,11,1,,,rinki,20.66740265,57.5,97.2,29,68,58,115,,,,,rinki,7,0,17.7,2,17.7,2,5,0,10,0,9.5,0,12,1,rinki,,,,,,,,,,,,,,,,,,,rinki,3.02,,,,,,,,,,,,,,,,,,,,,,,,,rinki,0,
262cff6d,500years,15,0,17cm,70,17cm,24.73466919,65.25,149.8,,53,91,115,,,,,17cm,37,1,47.1,3,40.6,2,49,1,13,1,11,1,12,1,17cm,4,6.52549,24.7374,1688.83,3546.55,38.0554,122.146,20.1707,4.56667,27.654,3,54.5186,29.572,115.621,64.2869,92.574,17cm,1.88,,,17cm,2,2,4,3,5,1,2,1,1,3,5,1,1,2,2,1,2,3,2,1,17cm,46,64,500years,3,1
4e85505f,500years,13,0,17cm,55,17cm,22.31842561,68,146.8,,64,80,122,,,,,17cm,12,0,22.9,2,30,2,19,1,8.5,1,6,0,12,1,17cm,2,0.562961,22.3209,1628.27,2605.23,35.5238,115.695,17.5914,4.72946,31.1048,2,50.7196,29.4518,115.132,56.5802,86.2434,,,17cm,3.28,17cm,4,4,4,1,5,3,4,3,1,1,3,0,3,3,4,4,4,4,2,2,17cm,38,54,500years,0,2
0a88a5d5,17cm,13,1,500years,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,,
9d5826bb,500years,12,0,500years,83,rinki,16.68135593,59,82.6,,71,84,117,rinki,,,,rinki,25,1,20.9,2,23.5,3,20,1,14.5,1,15,1,10,1,rinki,5,2.28669,16.6832,1198,2875.19,18.0905,69.8655,14.1111,2.57205,12.7345,2,34.0253,17.7498,67.5788,34.1941,52.1158,,,500years,2.69,rinki,3,3,3,1,3,2,0,2,1,3,2,1,1,2,3,1,2,2,2,0,rinki,30,43,500years,0,1
82923551,17cm,6,0,,,17cm,16.27237416,43.5,43.8,22,73,69,98,,,,,17cm,0,0,,,,,5,1,11,1,12,1,5,0,17cm,3,2.36199,16.2742,882.054,1499.49,6.26824,36.2133,13.4553,2.81889,7.58671,1,21.7857,8.15936,33.8513,14.9026,28.0539,,,,,17cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17cm,34,49,17cm,0,0
7c7f3921,500years,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ea5ac9e,rinki,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7214ad21,500years,13,1,rinki,60,17cm,0,63,0,,72,81,130,17cm,,,,rinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,2.5,17cm,4,4,4,2,3,0,0,2,5,4,2,0,1,2,4,2,3,3,2,2,17cm,46,64,500years,1,1
3820a945,rinki,12,0,chotu,65,rinki,15.70877193,57,72.6,,56,76,93,rinki,5,8,18,rinki,25,1,12.3,1,13.4,1,13,1,7,0,6,0,7,0,chotu,3,1.30351,15.7105,1152.88,1959.9,18.1079,65.0599,14.0788,1.63167,7.54013,2,31.353,15.599,63.7564,25.8603,49.4609,,,chotu,1.97,chotu,1,2,2,0,2,2,0,1,1,1,0,0,1,2,2,1,3,2,2,2,rinki,57,79,rinki,2,0
59ea397f,chotu,7,1,17cm,68,chotu,18.32084211,47.5,58.8,25,60,75,115,,,,,chotu,1,0,,,,,0,0,13,1,12,1,7,1,chotu,2,2.46227,18.3228,968.741,1453.11,13.2546,45.4466,14.1618,4.16108,13.3534,1,22.2129,9.97917,42.9844,18.3374,35.4675,,,,,chotu,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chotu,30,43,chotu,0,0
98a81a90,rinki,11,0,17cm,60,chotu,25.28758672,55.75,111.8,,73,94,117,chotu,4,7,0,chotu,15,1,16.5,2,15.9,2,10,1,8,1,8,1,6,0,500years,2,3.99548,25.2903,1230.27,1968.43,18.0253,73.3031,16.5819,8.70841,38.4969,3,36.998,18.2798,69.3076,43.8394,55.0233,,,chotu,3.67,chotu,3,3,4,4,2,1,2,1,1,2,3,1,2,1,2,2,1,2,1,1,chotu,41,58,rinki,2,1
c21a6bac,chotu,11,1,,,chotu,16.76571733,55.25,72.8,23,71,70,97,,,,,chotu,29,1,16.6,2,14.6,2,21,1,11,1,10,1,16,1,chotu,,,,,,,,,,,,,,,,,,,chotu,3.89,,,,,,,,,,,,,,,,,,,,,,,,,chotu,0,
e0e35d4e,rinki,14,0,500years,91,chotu,19.52777778,60,100,,59,94,97,,,,,chotu,33,1,18,1,17.7,1,16,1,7,0,9,1,13,1,chotu,3,3.98742,19.5299,1265.01,2150.51,21.954,77.003,15.0386,4.4913,22.997,1,35.3734,19.6756,73.0155,31.0467,57.3274,,,rinki,1.72,chotu,4,4,2,0,4,1,4,3,2,3,2,0,0,1,0,0,1,1,0,0,chotu,36,51,rinki,3,1
60c1ff37,rinki,8,0,chotu,65,chotu,19.62421125,54,81.4,,65,73,108,chotu,7,11,30,chotu,7,1,,,,,1,0,8.5,1,7.5,1,9,1,chotu,2,3.65464,19.6264,1115.38,1784.62,15.614,61.0662,14.7237,4.90269,20.3338,2,30.272,15.1801,57.4115,25.3794,45.886,,,chotu,3.28,chotu,3,2,2,0,3,1,0,0,0,1,1,0,2,2,2,2,1,2,1,1,chotu,55,76,rinki,0,0
34124db3,17cm,8,0,chotu,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
caec8d59,rinki,16,0,500years,55,,,,,,,,,,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,3.32,,,chotu,5,5,5,2,1,5,2,2,5,1,5,1,5,5,5,5,5,5,1,5,chotu,50,69,rinki,3,2
4edb98d8,rinki,17,0,17cm,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2.75,,,rinki,4,5,4,2,4,4,1,3,4,3,5,1,4,3,3,3,3,3,4,2,rinki,37,53,rinki,2,2
ac66c144,chotu,7,1,17cm,85,17cm,14.81138024,51,54.8,,53,67,95,17cm,7,11,45,17cm,5,1,,,,,6,1,10,1,8,0,9,1,17cm,3,7.55907,14.813,1001.05,1601.68,13.4131,48.8878,13.2149,1.59814,5.91223,1,22.9504,12.5243,41.3287,21.1929,36.3635,,,,,17cm,2,2,2,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,17cm,30,43,chotu,0,0
e8c93ca7,chotu,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24591f4d,17cm,8,1,chotu,60,rinki,17.94663591,51,66.4,,55,73,72,rinki,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2.82,rinki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rinki,33,47,17cm,0,0
a3b3cbbe,rinki,10,1,,,rinki,13.45246914,54,55.8,23,62,84,109,,,,,rinki,16,1,,,,,0,0,10,1,9,1,12,1,rinki,,,,,,,,,,,,,,,,,,,chotu,2.45,,,,,,,,,,,,,,,,,,,,,,,,,rinki,1,
6c0fe935,rinki,18,0,chotu,55,chotu,26.69819383,68.5,178.2,,95,70,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,0,0,1,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,rinki,31,45,rinki,1,0
f958efdc,chotu,11,0,chotu,70,,,,,,,,,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,3.07,chotu,3,2,3,1,3,2,0,1,2,1,0,0,1,1,2,2,2,2,1,1,chotu,36,51,chotu,2,0
08c390b6,chotu,8,0,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdb6b48b,chotu,8,0,500years,61,500years,16.63073719,49,56.8,,67,62,115,500years,7,12,56,500years,18,,,,,,15,,12,,12,,12,,,,,,,,,,,,,,,,,,,,,,,500years,4,3,3,2,2,0,0,2,0,2,2,0,2,0,2,1,2,2,1,0,500years,55,76,chotu,2,0
d476f528,rinki,11,0,17cm,68,chotu,23.50967972,59.25,117.4,,88,89,150,chotu,,,,chotu,20,1,20.4,2,18.2,2,5,0,7,0,7,0,15,1,,,,,,,,,,,,,,,,,,,,chotu,3.01,chotu,5,5,5,2,5,2,1,5,5,5,3,0,3,3,5,4,3,5,2,5,chotu,31,45,rinki,2,2
579e50bd,17cm,12,1,chotu,85,rinki,17.9248128,62.5,99.6,,62,76,111,,,,,rinki,20,1,23.7,2,23.6,2,4,0,7.5,0,7,0,10,1,rinki,2,1.57817,17.8188,1264.92,1897.38,25.3574,76.9934,13.8579,3.96091,22.0066,2,31.4285,20.2075,75.4153,34.4504,56.7859,,,rinki,1.24,rinki,1,1,2,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,rinki,29,42,17cm,1,0
9fbf31f9,rinki,5,0,chotu,60,rinki,16.8669081,47,53,,106,99,141,rinki,,,,rinki,2,1,,,,,0,0,16.5,1,17,1,5,0,chotu,3,5.13451,16.8688,947.384,1610.55,8.54897,43.1719,13.7407,3.12808,9.82814,2,24.7186,9.90434,38.0373,20.2142,33.2675,,,,,chotu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,rinki,35,50,rinki,0,0
2bfc9187,rinki,7,1,17cm,60,chotu,21.9336,50,78,,74,78,117,chotu,5,8,30,chotu,2,1,,,,,0,0,14,1,14,1,7,1,500years,2,3.1482,27.5606,1132.61,1698.91,20.8133,62.9004,17.6895,9.8711,35.0996,2,30.8337,11.2533,59.7522,37.5047,51.647,,,,,chotu,3,3,3,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,chotu,47,66,chotu,3,0
c5b468d7,17cm,11,1,,,17cm,14.21046373,58,68,22,67,65,100,,,,,17cm,7,0,12.3,2,14.4,2,0,0,14,1,13,1,7,0,,,,,,,,,,,,,,,,,,,,17cm,2.16,,,,,,,,,,,,,,,,,,,,,,,,,17cm,3,
c6ead822,17cm,20,0,chotu,53,rinki,38.33502041,70,267.2,,62,93,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,2,5,4,3,5,0,1,2,1,4,5,1,1,3,5,1,2,1,2,1,rinki,38,54,17cm,2,1
e810389a,500years,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01182ce3,rinki,13,0,500years,72,rinki,20.61306448,69,139.6,,66,76,112,,,,,rinki,18,0,26.4,2,29.2,2,10,0,11.5,1,12,1,15,1,,,,,,,,,,,,,,,,,,,,rinki,4.12,chotu,5,4,4,3,3,3,0,1,2,2,4,1,3,4,2,2,2,3,2,1,rinki,48,67,rinki,3,2
d6007386,17cm,10,0,,,chotu,16.69461967,57.75,79.2,,63,70,109,chotu,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,3.4,chotu,4,3,3,1,4,1,1,1,1,2,3,0,2,1,3,1,2,1,1,2,chotu,36,51,17cm,0,1
7d666f0f,500years,16,1,17cm,70,17cm,24.96144786,59,123.6,,82,73,131,,,,,17cm,28,1,19.2,2,24.8,2,12,1,12.5,1,13,1,11,1,17cm,1,4.76377,24.9642,1265.35,1644.96,27.154,77.0397,15.5601,9.40405,46.5603,2,30.8301,19.0556,72.2759,30.9993,57.984,500years,1.9,,,17cm,4,3,4,2,5,2,1,4,2,2,4,0,5,,2,3,3,5,4,4,17cm,33,47,500years,0,2
09331bb8,17cm,13,0,chotu,63,rinki,20.95792143,69.5,144,,78,88,130,,,,,rinki,9,0,27.7,2,26.5,2,5,0,5,0,6,0,9,1,rinki,3,6.73257,20.9602,1594.1,2709.97,34.7268,112.055,16.3104,4.64976,31.9446,2,47.779,29.5496,105.323,48.6357,82.5058,,,17cm,0.99,rinki,3,3,3,2,4,2,2,3,2,2,3,0,3,4,3,3,5,4,4,3,rinki,28,41,17cm,2,2
6e85a624,500years,10,1,17cm,70,17cm,20.82917902,53.75,85.6,,85,94,133,17cm,,,,rinki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,1.6,17cm,2,2,3,,4,2,4,3,3,3,3,1,3,3,3,3,4,3,3,3,17cm,34,49,500years,0,2
d0c200f5,chotu,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3655395c,rinki,9,1,500years,70,500years,15.50612366,58,74.2,,74,98,100,500years,,,,17cm,,,,,,,,,,,,,,,500years,3,3.94627,15.5078,1157.35,1851.77,21.2365,65.5364,13.6971,1.81069,8.66358,1,28.4369,15.863,61.5902,28.146,49.6734,,,rinki,1.52,500years,3,3,3,0,2,1,0,1,1,2,2,0,1,2,1,2,2,2,1,1,chotu,39,55,rinki,0,0
1470a1df,500years,7,0,rinki,61,500years,14.95037807,46,45,,72,74,111,,,,,500years,10,1,,,,,3,1,11,1,10,1,12,1,500years,3,2.53641,14.952,910.27,1547.46,6.26564,39.2188,13.0311,1.92092,5.78125,1,22.3747,10.5784,36.6823,17.7257,28.6404,,,,,17cm,3,4,4,0,3,1,0,1,2,3,2,0,3,1,2,2,1,2,1,1,17cm,59,81,500years,2,1
4b71830a,rinki,12,0,500years,70,500years,16.27653486,62,89,,60,77,107,,,,,17cm,,,,,,,,,,,,,,,500years,2,4.66936,16.2783,1223.17,1957.07,18.5835,72.5468,13.269,3.00933,16.4532,1,33.0822,20.8811,67.8774,30.9468,51.6657,,,chotu,3.41,chotu,2,2,3,1,2,1,1,3,2,1,4,0,1,1,2,1,1,1,1,1,chotu,42,59,rinki,1,1
e4d5bf2b,500years,15,1,17cm,72,500years,26.62248521,65,160,,95,95,150,,,,,chotu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,1.67,,,500years,4,4,4,1,2,1,2,1,1,1,4,1,1,1,1,1,1,1,1,1,500years,33,47,500years,2,1
1a1e8ac5,chotu,7,1,17cm,70,500years,16.57868481,42,41.6,,66,76,116,500years,4,6,0,500years,7,1,,,,,12,1,9,1,12,1,12,1,500years,4,10.7167,16.5805,880.551,1673.05,7.94145,36.0532,14.3697,2.21079,5.54681,1,19.0785,9.03327,25.3365,15.7903,27.0199,,,,,500years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500years,41,58,chotu,0,0
f9b73de7,chotu,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,4,6.02718,23.27,1518.7,3189.27,29.622,104.025,16.0521,7.21792,46.7753,3,45.9115,28.4912,97.9975,51.3411,75.5334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d043af7,500years,13,0,17cm,85,rinki,16.73899489,61,88.6,,66,72,102,,,,,rinki,10,0,14.5,1,18.5,1,2,0,6,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,rinki,1.1,rinki,2,1,3,3,3,1,1,3,1,1,3,0,0,0,0,0,4,0,3,0,rinki,29,42,500years,2,0
6e11e79e,rinki,9,0,rinki,70,chotu,14.4884773,51,53.6,25,85,89,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc8e4de4,17cm,9,1,chotu,75,rinki,17.26536106,57.5,81.2,,86,93,118,rinki,5,9,0,rinki,10,1,,,,,15,1,10,1,11,1,12,1,chotu,4,3.86021,17.2672,1158.88,2201.87,19.1497,65.699,13.9709,3.2963,15.501,2,30.5842,15.9651,61.8388,41.069,49.7339,,,17cm,2.56,rinki,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,rinki,32,46,17cm,1,0
123e0518,500years,15,0,,,500years,21.82151675,63,123.2,31,67,77,110,,,,,500years,10,0,20.3,1,19.6,1,3,0,9,1,8,1,9,1,500years,3,5.81028,21.8239,1510.45,2567.76,30.6796,103.146,18.2714,3.55247,20.0544,2,48.0599,24.4062,97.3354,56.769,78.7395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500years,2,
20cefbaf,rinki,10,1,500years,80,chotu,22.20158333,57.88,105.8,,49,61,102,chotu,,,,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2.5,500years,2,3,2,1,4,0,0,2,1,2,1,0,0,0,1,2,3,2,0,1,chotu,29,42,rinki,1,0
a5f00d28,chotu,10,0,,,500years,19.27869898,56,86,27,110,75,153,,,,,500years,2,0,14.4,2,11.2,1,0,0,7,0,5,0,12,1,500years,,,,,,,,,,,,,,,,,,,500years,1.709,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2,
b78d5d2e,17cm,9,0,chotu,70,rinki,19.82114632,53,79.2,,118,79,138,rinki,3,4,14,rinki,5,0,,,,,0,0,7,0,9.2,1,9,1,,,,,,,,,,,,,,,,,,,,rinki,1.46,rinki,2,0,3,1,2,0,0,1,2,0,1,0,0,0,2,0,0,1,0,0,rinki,46,64,17cm,,0
11f7253c,17cm,16,0,,,17cm,46.10291358,67.5,298.8,49,72,93,157,,,,,17cm,11,0,32.6,2,36.6,2,0,0,0,0,5.5,0,12,1,17cm,1,7.43478,46.1079,2220.87,2887.12,58.7812,178.814,27.5929,18.515,119.986,3,73.2738,46.7594,171.38,82.3033,132.055,17cm,1.38,,,17cm,5,5,5,5,5,5,2,5,2,5,5,0,5,5,5,5,5,5,5,5,17cm,67,91,17cm,3,3
2a004ad9,rinki,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rinki,0,
7a96c165,chotu,9,0,500years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,,
c3a3f61e,17cm,9,0,chotu,70,rinki,13.84795322,57,64,,63,81,100,,,,,rinki,11,1,,,,,0,0,10.5,1,9,1,9,1,rinki,3,3.67535,13.8495,1074.4,1826.49,12.0378,56.7011,12.27,1.57946,7.29887,2,26.0049,18.6585,53.0258,21.0237,38.0427,,,rinki,2.12,rinki,1,2,1,0,1,0,0,1,1,1,2,0,1,1,1,0,0,1,0,0,rinki,34,49,17cm,2,0
2cd9b5a3,chotu,12,1,rinki,80,rinki,20.08982993,60.5,104.6,,93,86,187,,,,,chotu,,,,,,,,,,,,,,,500years,2,4.32902,20.092,1243.46,1865.19,23.947,74.7076,14.3502,5.74186,29.8924,2,31.5862,19.1744,70.3786,38.014,55.5332,,,chotu,2.21,chotu,2,2,3,0,2,1,0,2,1,2,2,0,2,2,3,3,2,3,4,0,chotu,44,62,chotu,0,1
4e58d463,chotu,7,0,17cm,45,17cm,15.25607639,48,50,,82,76,121,17cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2,4,4,0,4,0,0,0,0,2,0,0,2,0,0,2,0,0,1,0,chotu,47,66,chotu,2,0
86eef4b9,500years,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7d2852d,rinki,14,1,chotu,58,rinki,18.62617769,57.5,87.6,,72,64,120,,,,,rinki,11,0,22.1,2,24.7,3,4,0,13,1,14,1,10,1,chotu,3,3.62109,18.9565,1138.45,1821.52,17.9157,63.5228,13.7462,5.21026,24.0772,1,28.7379,16.8692,59.9017,38.8992,46.6536,,,rinki,2.88,rinki,3,1,4,1,2,3,1,1,3,2,2,0,0,0,3,2,1,2,0,0,rinki,60,82,rinki,2,1
3a7154ef,17cm,5,0,,,17cm,18.401947,43,48.4,24,57,85,105,,,,,17cm,0,0,,,,,0,0,6,0,7,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17cm,2,
00af6387,chotu,12,0,,,chotu,15.54411111,60,79.6,24,57,71,103,,,,,chotu,10,0,22.3,2,21.6,2,7,0,7,0,9,1,12,1,,,,,,,,,,,,,,,,,,,,chotu,1.22,,,,,,,,,,,,,,,,,,,,,,,,,chotu,,
347d2af9,500years,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30ac8a84,17cm,10,0,17cm,80,rinki,31.59738407,58,151.2,,85,107,162,rinki,5,7,25,rinki,5,0,14.3,2,14.9,2,4,0,6.5,0,6.5,0,10,1,rinki,3,11.7145,31.6008,1418.98,2412.26,28.1928,93.4027,19.5212,12.0797,57.7973,3,42.5199,22.6899,81.6882,39.4752,70.7127,,,rinki,2.78,rinki,4,4,4,1,5,4,0,4,1,2,3,0,4,4,4,4,3,4,4,3,rinki,32,46,17cm,2,2
1e5f6199,500years,7,0,rinki,51,17cm,16.18169575,49.5,56.4,,74,81,109,17cm,5,8,9,17cm,7,1,,,,,11,1,11.5,1,11,1,10,1,17cm,2,3.09674,16.1835,995.038,1592.06,9.83552,48.2476,13.8442,2.33925,8.15239,1,27.7595,10.6526,45.1509,28.3051,37.595,,,,,17cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17cm,44,62,17cm,0,0
cbca33a5,chotu,9,0,500years,60,500years,14.1688854,50.5,51.4,,121,66,148,500years,6,9,28,500years,8,,,,,,10,,9,,10,,11,,500years,3,2.947,14.1704,973.163,1654.38,8.21332,45.9176,12.659,1.51143,5.48237,2,23.6592,14.0451,42.9706,19.2844,31.8725,,,chotu,2.76,500years,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,2,2,0,0,500years,48,67,chotu,0,0
18406565,chotu,14,0,,,chotu,16.78711063,66.5,105.6,27,52,57,121,,,,,chotu,2,0,26.6,1,23.8,1,11,0,8,1,12,1,11,1,,,,,,,,,,,,,,,,,,chotu,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,chotu,2,
8c6fc949,500years,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d445fb74,17cm,11,0,chotu,58,17cm,19.85285375,58,95,,75,85,111,,,,,17cm,13,1,17.4,2,17.7,2,7,1,4.5,0,6.5,0,12,1,rinki,3,4.12249,19.855,1190.93,2024.58,17.4397,69.1127,14.4446,5.41046,25.8873,2,32.6931,18.9799,64.9902,30.3574,50.1328,,,rinki,3.01,rinki,5,5,5,2,4,3,0,4,1,3,0,0,4,2,4,5,4,5,3,2,rinki,42,59,17cm,2,2
